epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.5052,0.46496,1.56139,0.8602,0.98466,0.9951,0.99357,0.93914,0.32141,1.41294,0.8067,0.000550749,0.000550749,0.000550749
2,56.7605,0.42096,0.87784,0.86274,0.99845,0.99481,0.995,0.96821,0.28292,0.60526,0.80018,0.000741299,0.000741299,0.000741299
3,83.4637,0.37331,0.68055,0.84766,0.91096,0.90794,0.99168,0.96683,0.24784,0.72066,0.79597,0.000565108,0.000565108,0.000565108
